Transaction_ID,Timestamp,From_Bank,From_Account,To_Bank,To_Account,Amount_Paid,Currency
TXN_00000,2026-01-05 20:31:00,Bank_D,ACC_0042,Bank_D,ACC_0687,4908.72,USD
TXN_00001,2026-01-09 03:52:00,Offshore_Bank_X,ACC_0266,Bank_B,ACC_0373,362.78,USD
TXN_00002,2026-01-21 22:54:00,Bank_C,ACC_0468,Bank_D,ACC_0113,3345.0,USD
TXN_00003,2026-01-22 09:00:00,Bank_D,ACC_0944,Offshore_Bank_X,ACC_0951,2345.92,USD
TXN_00004,2026-01-01 01:38:00,Bank_A,ACC_0524,Bank_D,ACC_0303,1263.96,USD
TXN_00005,2026-01-26 19:46:00,Bank_C,ACC_0603,Bank_A,ACC_0341,4174.26,USD
TXN_00006,2026-01-01 11:22:00,Offshore_Bank_X,ACC_0594,Bank_C,ACC_0144,754.7,USD
TXN_00007,2026-01-24 23:37:00,Bank_B,ACC_0631,Bank_C,ACC_0976,2484.8,USD
TXN_00008,2026-01-05 10:36:00,Offshore_Bank_X,ACC_0629,Bank_C,ACC_0521,3623.14,USD
TXN_00009,2026-01-27 10:50:00,Bank_D,ACC_0584,Bank_A,ACC_0194,2554.7,USD
TXN_00010,2026-01-08 20:48:00,Bank_C,ACC_0037,Bank_C,ACC_0016,4528.21,USD
TXN_00011,2026-01-09 11:58:00,Bank_B,ACC_0735,Bank_D,ACC_0450,984.59,USD
TXN_00012,2026-01-07 06:19:00,Bank_A,ACC_0433,Bank_D,ACC_0842,4797.31,USD
TXN_00013,2026-01-23 08:16:00,Bank_B,ACC_0596,Bank_D,ACC_0314,3638.6,USD
TXN_00014,2026-01-09 04:43:00,Bank_D,ACC_0415,Bank_A,ACC_0050,915.53,USD
TXN_00015,2026-01-25 12:24:00,Bank_A,ACC_0283,Offshore_Bank_X,ACC_0736,4249.78,USD
TXN_00016,2026-01-07 08:21:00,Bank_C,ACC_0185,Bank_C,ACC_0161,2844.04,USD
TXN_00017,2026-01-02 14:24:00,Bank_D,ACC_0198,Bank_D,ACC_8888,4341.56,USD
TXN_00018,2026-01-03 13:05:00,Bank_B,ACC_0145,Bank_B,ACC_0180,1915.09,USD
TXN_00019,2026-01-12 22:08:00,Offshore_Bank_X,ACC_0314,Bank_B,ACC_0081,4177.25,USD
TXN_00020,2026-01-17 19:38:00,Bank_C,ACC_0502,Bank_D,ACC_0544,4517.39,USD
TXN_00021,2026-01-21 03:54:00,Bank_A,ACC_0883,Bank_C,ACC_9999,4627.81,USD
